jday,date,month,year,hour,min,sec,speed,direction
177.395833333333,27,6,10,9,30,0,11.296,117.053
177.402777777778,27,6,10,9,40,0,12.011,124.919
177.409722222222,27,6,10,9,50,0,10.702,121.248
177.416666666667,27,6,10,10,0,0,11.198,122.441
177.423611111111,27,6,10,10,10,0,9.925,121.374
177.430555555556,27,6,10,10,20,0,11.141,112.512
177.4375,27,6,10,10,30,0,8.741,116.819
177.444444444444,27,6,10,10,40,0,7.835,117.963
177.451388888889,27,6,10,10,50,0,11.336,118.437
177.458333333333,27,6,10,11,0,0,12.146,115.188
177.465277777778,27,6,10,11,10,0,10.753,111.358
177.472222222222,27,6,10,11,20,0,10.302,116.3
177.479166666667,27,6,10,11,30,0,11.431,109.42
177.486111111111,27,6,10,11,40,0,11.708,115.974
177.493055555556,27,6,10,11,50,0,10.007,109.34
177.5,27,6,10,12,0,0,11.305,102.757
177.506944444444,27,6,10,12,10,0,8.117,107.81
177.513888888889,27,6,10,12,20,0,7.474,102.768
177.520833333333,27,6,10,12,30,0,4.4,101.53
177.527777777778,27,6,10,12,40,0,5.426,94.129
177.534722222222,27,6,10,12,50,0,5.138,68.701
177.541666666667,27,6,10,13,0,0,5.522,91.678
177.548611111111,27,6,10,13,10,0,5.2,76.306
177.555555555556,27,6,10,13,20,0,3.775,78.141
177.5625,27,6,10,13,30,0,4.896,46.114
177.569444444444,27,6,10,13,40,0,3.852,25.634
177.576388888889,27,6,10,13,50,0,6.962,22.932
177.583333333333,27,6,10,14,0,0,6.749,2.785
177.590277777778,27,6,10,14,10,0,8.703,352.961
177.597222222222,27,6,10,14,20,0,10.91,342.449
177.604166666667,27,6,10,14,30,0,10.726,330.661
177.611111111111,27,6,10,14,40,0,16.785,343.773
177.618055555556,27,6,10,14,50,0,16.209,329.292
177.625,27,6,10,15,0,0,10.705,329.143
177.631944444444,27,6,10,15,10,0,10.286,325.667
177.638888888889,27,6,10,15,20,0,11.189,324.004
177.645833333333,27,6,10,15,30,0,10.95,334.749
177.652777777778,27,6,10,15,40,0,8.822,313.265
177.659722222222,27,6,10,15,50,0,10.399,317.627
177.666666666667,27,6,10,16,0,0,10.62,317.456
177.673611111111,27,6,10,16,10,0,12.553,320.668
177.680555555556,27,6,10,16,20,0,11.126,313.876
177.6875,27,6,10,16,30,0,12.88,316.119
177.694444444444,27,6,10,16,40,0,12.373,317.53
177.701388888889,27,6,10,16,50,0,11.605,317.505
177.708333333333,27,6,10,17,0,0,11.403,309.837
177.715277777778,27,6,10,17,10,0,12.426,312.075
177.722222222222,27,6,10,17,20,0,10.997,310.255
177.729166666667,27,6,10,17,30,0,11.251,316.144
177.736111111111,27,6,10,17,40,0,12.087,320.132
177.743055555556,27,6,10,17,50,0,13.981,313.402
177.75,27,6,10,18,0,0,12.527,304.467
177.756944444444,27,6,10,18,10,0,14.294,323.954
177.763888888889,27,6,10,18,20,0,13.052,313.318
177.770833333333,27,6,10,18,30,0,13.508,319.9
177.777777777778,27,6,10,18,40,0,14.206,321.988
177.784722222222,27,6,10,18,50,0,13.463,314.237
177.791666666667,27,6,10,19,0,0,11.368,313.316
177.798611111111,27,6,10,19,10,0,14.447,318.075
177.805555555556,27,6,10,19,20,0,11.588,307.091
177.8125,27,6,10,19,30,0,15.561,325.181
177.819444444444,27,6,10,19,40,0,13.416,315.925
177.826388888889,27,6,10,19,50,0,13.142,327.036
177.833333333333,27,6,10,20,0,0,14.387,311.273
177.840277777778,27,6,10,20,10,0,15.061,317.483
177.847222222222,27,6,10,20,20,0,11.341,312.079
177.854166666667,27,6,10,20,30,0,14.435,317.637
177.861111111111,27,6,10,20,40,0,13.659,308.632
177.868055555556,27,6,10,20,50,0,14.734,324.655
177.875,27,6,10,21,0,0,17.749,321.661
177.881944444444,27,6,10,21,10,0,16.623,325.935
177.888888888889,27,6,10,21,20,0,18.88,322.766
177.895833333333,27,6,10,21,30,0,15.715,318.842
177.902777777778,27,6,10,21,40,0,15.354,323.04
177.909722222222,27,6,10,21,50,0,14.869,309.362
177.916666666667,27,6,10,22,0,0,14.718,305.215
177.923611111111,27,6,10,22,10,0,16.688,315.416
177.930555555556,27,6,10,22,20,0,13.61,311.764
177.9375,27,6,10,22,30,0,14.557,314.478
177.944444444444,27,6,10,22,40,0,17.045,320.883
177.951388888889,27,6,10,22,50,0,14.053,315.088
177.958333333333,27,6,10,23,0,0,12.728,321.232
177.965277777778,27,6,10,23,10,0,12.459,323.724
177.972222222222,27,6,10,23,20,0,13.167,317.814
177.979166666667,27,6,10,23,30,0,12.425,313.941
177.986111111111,27,6,10,23,40,0,10.684,318.189
177.993055555556,27,6,10,23,50,0,12.278,314.745
178,28,6,10,0,0,0,12.416,314.113
178.006944444444,28,6,10,0,10,0,11.355,309.168
178.013888888889,28,6,10,0,20,0,12.215,310.484
178.020833333333,28,6,10,0,30,0,10.344,304.879
178.027777777778,28,6,10,0,40,0,10.741,311.549
178.034722222222,28,6,10,0,50,0,9.997,314.54
178.041666666667,28,6,10,1,0,0,9.661,312.208
178.048611111111,28,6,10,1,10,0,9.429,312.578
178.055555555556,28,6,10,1,20,0,10.825,317.433
178.0625,28,6,10,1,30,0,10.381,320.194
178.069444444444,28,6,10,1,40,0,10.755,314.305
178.076388888889,28,6,10,1,50,0,10.894,320.861
178.083333333333,28,6,10,2,0,0,11.263,316.188
178.090277777778,28,6,10,2,10,0,11.269,314.929
178.097222222222,28,6,10,2,20,0,9.59,309.88
178.104166666667,28,6,10,2,30,0,9.706,313.914
178.111111111111,28,6,10,2,40,0,12.831,316.498
178.118055555556,28,6,10,2,50,0,11.492,315.748
178.125,28,6,10,3,0,0,12.448,304.035
